"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence"
"E119";"2";"O_H_diag_E119";0,685349339359721;0,319472611224873;0,332924815737506;0,306314364746401;"[65, 75)";"F";305484;0,12
"E119";"1";"O_H_diag_E119";0,512042271251868;0,439082328532876;0,445594689911836;0,432590879768553;"[18, 65)";"F";305484;0,12
"E119";"2";"O_H_diag_E119";0,675984538582165;0,382822452339776;0,391835924821319;0,37388885021502;"[75,108)";"M";305484;0,12
"E119";"2";"O_H_diag_E119";0,602726042553011;0,341828941965667;0,351227919798175;0,33255255800048;"[75,108)";"F";305484;0,12
"E119";"2";"O_H_diag_E119";0,557663728271049;0,418466676788731;0,424982069560156;0,4119796056909;"[18, 65)";"M";305484;0,12
"H02AB06";"2";"O_M_H02AB06";0,559085116347442;0,309143646455249;0,321959178946286;0,296615077464652;"[65, 75)";"F";76203;0,03
"H02AB06";"1";"O_M_H02AB06";0,411083266583311;0,399867458469874;0,420023813911043;0,380044545924795;"[0, 18)";"F";76203;0,03
"H02AB06";"1";"O_M_H02AB06";0,416520704213625;0,399025302940813;0,405031735545748;0,393049099622894;"[18, 65)";"M";76203;0,03
"H02AB06";"2";"O_M_H02AB06";0,597042534646351;0,341592185257251;0,350978750746932;0,332328113069058;"[75,108)";"F";76203;0,03
"H02AB06";"1";"O_M_H02AB06";0,448195369685406;0,430225349200988;0,436493430638093;0,423979554725621;"[18, 65)";"F";76203;0,03
"H02AB06";"1";"O_M_H02AB06";0,441594373355051;0,42152522599945;0,440529500276597;0,402750605989719;"[0, 18)";"M";76203;0,03
"H03AA01";"1";"O_M_H03AA01";0,350844336146779;0,415808001409842;0,434198247998046;0,397649241554809;"[0, 18)";"M";100199;0,04
"H35";"1";"O_H_diag_H35";0,32401958845682;0,394460946543885;0,414025606939716;0,375228790480664;"[0, 18)";"F";272815;0,11
"I109";"2";"S_H_diag_I109";0,627856759887164;0,381002854693877;0,389917960708293;0,372167238772245;"[75,108)";"M";939195;0,38
"I109";"2";"S_H_diag_I109";0,594569639342603;0,312027808410016;0,325021789888375;0,299322942673599;"[65, 75)";"F";939195;0,38
"I109";"2";"S_H_diag_I109";0,617992109101143;0,369858594182966;0,38009789034067;0,359735062131751;"[65, 75)";"M";939195;0,38
"I109";"3";"S_H_diag_I109";0,722905859332442;0,346853561870551;0,356515502920199;0,337316207745781;"[75,108)";"F";939195;0,38
"I109";"1";"S_H_diag_I109";0,436669537528627;0,401782768279312;0,407862234838106;0,395733358740505;"[18, 65)";"M";939195;0,38
"I489";"1";"O_H_diag_I489";0,549280568476311;0,378039262152877;0,386793909626439;0,369363410097064;"[75,108)";"M";302214;0,12
"I489";"2";"O_H_diag_I489";0,616748381495483;0,34241340465277;0,351843015794996;0,333106633111125;"[75,108)";"F";302214;0,12
"J01CE02";"1";"O_M_J01CE02";0,320668331301219;0,394253345142139;0,41379522068403;0,375043907941258;"[0, 18)";"F";288134;0,12
"J01CF05";"1";"O_M_J01CF05";0,349473210899415;0,396038968763099;0,415776668557604;0,376634203369164;"[0, 18)";"F";107642;0,04
"J01CF05";"1";"O_M_J01CF05";0,363075200528137;0,416577258036017;0,43505034048186;0,398335510594062;"[0, 18)";"M";107642;0,04
"M01AE02";"1";"O_M_M01AE02";0,312619186185834;0,393754878194055;0,413242026674675;0,374600000731715;"[0, 18)";"F";182179;0,07
"N02AA05";"1";"O_M_N02AA05";0,357676140069621;0,396547980655991;0,416341438113442;0,377087569152462;"[0, 18)";"F";105492;0,04
"N02AA05";"1";"O_M_N02AA05";0,345190186942799;0,41545252371329;0,433804469249163;0,397332125257077;"[0, 18)";"M";105492;0,04
"N02BE01";"2";"O_M_N02BE01";0,46939296115558;0,403502171429018;0,424054395597492;0,383283152408293;"[0, 18)";"F";321562;0,13
"N02BE01";"1";"S_M_N02BE01";0,378044396420919;0,39377751556386;0,399644249929722;0,387941252763013;"[18, 65)";"M";321562;0,13
"N02BE01";"1";"O_M_N02BE01";0,491747500451589;0,409351758670558;0,415630305315816;0,403102631997358;"[18, 65)";"M";321562;0,13
"N02BE01";"1";"O_M_N02BE01";0,492802328603141;0,360035464615416;0,369817256707927;0,350368554766634;"[65, 75)";"M";321562;0,13
"N02BE01";"2";"O_M_N02BE01";0,60752682157;0,313084618227709;0,3261438605985;0,300315242155427;"[65, 75)";"F";321562;0,13
"N02BE01";"1";"O_M_N02BE01";0,579305868600152;0,448455333787532;0,455222500873113;0,441707199579584;"[18, 65)";"F";321562;0,13
"N02BE01";"1";"S_M_N02BE01";0,314386849546935;0,393864327027024;0,413363494252598;0,374697468630148;"[0, 18)";"F";321562;0,13
